event,ticker,time,price,value,reason,headline
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T08:00:09.667515+00:00,8.2800,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=34.3%, RVOL=6.2x) + old bullish news (2026-08-06T05:35:31+00:00) + session-high break at $7.57"
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T09:27:08.957687+00:00,8.4500,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=52.9%, RVOL=144.8x) + old bullish news (2026-08-06T09:17:18+00:00) + session-high break at $7.90"
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T09:27:22.678523+00:00,8.4600,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=52.9%, RVOL=144.8x) + old bullish news (2026-08-06T09:17:18+00:00) + session-high break at $8.02"
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T09:33:21.283153+00:00,8.9000,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=58.7%, RVOL=158.0x) + old bullish news (2026-08-06T09:17:18+00:00) + session-high break at $8.28"
ENTRY_ATTEMPT_UNFILLED,CELZ,2026-08-06T09:52:24.077509+00:00,0.9700,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=31.6%, RVOL=12773.3x) + old bullish news (2026-08-05T19:58:36+00:00) + session-high break at $0.92"
ENTRY_ATTEMPT_UNFILLED,CELZ,2026-08-06T09:53:34.721518+00:00,0.9800,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=35.3%, RVOL=12212.9x) + old bullish news (2026-08-05T19:58:36+00:00) + session-high break at $0.94"
ENTRY_ATTEMPT_UNFILLED,CELZ,2026-08-06T09:54:24.796710+00:00,0.9900,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=35.3%, RVOL=12212.9x) + old bullish news (2026-08-05T19:58:36+00:00) + session-high break at $0.94"
ENTRY_ATTEMPT_UNFILLED,CELZ,2026-08-06T09:55:09.169688+00:00,1.0300,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=39.7%, RVOL=12972.4x) + old bullish news (2026-08-05T19:58:36+00:00) + session-high break at $0.97"
ENTRY_ATTEMPT_UNFILLED,CELZ,2026-08-06T09:56:00.146619+00:00,1.0000,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=39.7%, RVOL=12972.4x) + old bullish news (2026-08-05T19:58:36+00:00) + session-high break at $0.98"
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T10:03:59.509539+00:00,9.3800,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=64.8%, RVOL=258.7x) + old bullish news (2026-08-06T09:17:18+00:00) + session-high break at $8.71"
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T10:04:27.430083+00:00,9.7300,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=64.8%, RVOL=258.7x) + old bullish news (2026-08-06T09:17:18+00:00) + session-high break at $9.12"
ENTRY_ATTEMPT_UNFILLED,ONFO,2026-08-06T10:17:28.633644+00:00,0.0900,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=17.8%, RVOL=3.1x) + old bullish news (2026-07-20T08:56:36+00:00) + session-high break at $0.09"
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T10:19:19.316525+00:00,9.7900,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=76.6%, RVOL=325.2x) + old bullish news (2026-08-06T09:17:18+00:00) + session-high break at $9.26"
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T10:21:00.008503+00:00,9.7500,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=85.6%, RVOL=334.2x) + old bullish news (2026-08-06T09:17:18+00:00) + session-high break at $9.33"
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T10:56:24.988830+00:00,11.8000,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=88.2%, RVOL=346.9x) + old bullish news (2026-08-06T09:17:18+00:00) + session-high break at $11.16"
ENTRY_ATTEMPT_UNFILLED,PAVS,2026-08-06T10:56:37.005070+00:00,12.3400,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=88.2%, RVOL=346.9x) + old bullish news (2026-08-06T09:17:18+00:00) + session-high break at $11.65"
ENTRY,CELZ,2026-08-06T11:37:58.165068+00:00,1.0985,qty=131,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=30.8%, RVOL=21997.2x) + old bullish news (2026-08-05T19:58:36+00:00) + session-high break at $1.07"
EXIT,CELZ,2026-08-06T13:47:31.564405+00:00,1.0301,-6.23,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.85 <= -0.5)",
ENTRY,CELZ,2026-08-06T13:59:25.828634+00:00,1.1580,qty=52,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=78.0%, RVOL=18575.0x) + old bullish news (2026-08-06T13:16:42+00:00) + session-high break at $1.15"
EXIT,CELZ,2026-08-06T15:33:15.343636+00:00,1.2820,+10.71,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.63 <= -0.5)",
ENTRY,CELZ,2026-08-07T13:01:06.887890+00:00,1.4285,qty=111,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=92.9%, RVOL=4.9x) + old bullish news (2026-08-06T19:13:48+00:00) + session-high break at $1.41"
ENTRY,XHLD,2026-08-07T13:51:15.485208+00:00,2.1150,qty=18,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=136.0%, RVOL=5.3x) + old bullish news (2026-08-06T19:15:56+00:00) + session-high break at $2.06"
EXIT,XHLD,2026-08-07T14:09:53.566472+00:00,2.2313,+5.50,"Bearish OBV/price swing divergence (secondary exit, armed)",
EXIT,CELZ,2026-08-07T14:43:14.096512+00:00,1.5651,+9.56,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-0.75 <= -0.65)",
ENTRY_ATTEMPT_UNFILLED,ZJYL,2026-08-10T08:00:11.230991+00:00,5.0900,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=96.7%, RVOL=3.4x) + old bullish news (2026-08-05T04:18:51+00:00) + session-high break at $4.71"
ENTRY_ATTEMPT_UNFILLED,ZJYL,2026-08-10T08:00:23.773385+00:00,5.2800,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=96.7%, RVOL=3.4x) + old bullish news (2026-08-05T04:18:51+00:00) + session-high break at $5.01"
ENTRY_ATTEMPT_UNFILLED,ZJYL,2026-08-10T08:00:36.917095+00:00,5.6700,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=96.7%, RVOL=3.4x) + old bullish news (2026-08-05T04:18:51+00:00) + session-high break at $5.07"
ENTRY,XHLD,2026-08-10T15:43:34.140697+00:00,3.0458,qty=64,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=45.4%, RVOL=62.8x) + old bullish news (2026-08-06T19:15:56+00:00) + session-high break at $4.02"
EXIT,XHLD,2026-08-10T16:00:19.352897+00:00,3.1114,+2.15,"Trailing CVD giveback (secondary exit, armed; net_cvd_ratio=-0.71, peak=0.87, giveback=1.58 >= 0.1)",
ENTRY,SCKT,2026-08-10T16:46:12.597367+00:00,1.6250,qty=13,HALT_REOPEN_CONFIRMED,"Halt->reopen at $1.57 (gap=306.6%), confirmed bullish by sustained buy-side volume post-resume"
EXIT,SCKT,2026-08-10T16:48:30.365827+00:00,1.7750,+9.23,"Trailing CVD giveback (secondary exit, armed; net_cvd_ratio=-1.00, peak=1.00, giveback=2.00 >= 0.1)",
ENTRY_ATTEMPT_UNFILLED,WAFU,2026-08-11T08:00:21.831559+00:00,2.5400,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=65.8%, RVOL=88.8x) + old bullish news (2026-08-10T20:01:43+00:00) + session-high break at $2.57"
ENTRY_ATTEMPT_UNFILLED,NCRA,2026-08-11T08:03:23.287472+00:00,4.1400,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=82.4%, RVOL=104.8x) + old bullish news (2026-07-29T20:05:36+00:00) + session-high break at $4.07"
ENTRY_ATTEMPT_UNFILLED,WAFU,2026-08-11T08:16:21.820417+00:00,2.2900,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=53.8%, RVOL=114.9x) + old bullish news (2026-08-10T20:01:43+00:00) + session-high break at $2.21"
ENTRY_ATTEMPT_UNFILLED,WAFU,2026-08-11T08:19:07.737654+00:00,2.3900,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=54.5%, RVOL=111.5x) + old bullish news (2026-08-10T20:01:43+00:00) + session-high break at $2.26"
ENTRY_ATTEMPT_UNFILLED,NCRA,2026-08-11T08:23:47.565492+00:00,3.1900,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=36.6%, RVOL=271.9x) + old bullish news (2026-07-29T20:05:36+00:00) + session-high break at $2.93"
ENTRY_ATTEMPT_UNFILLED,NCRA,2026-08-11T08:24:02.720680+00:00,3.2800,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=43.9%, RVOL=266.2x) + old bullish news (2026-07-29T20:05:36+00:00) + session-high break at $3.10"
ENTRY_ATTEMPT_UNFILLED,NCRA,2026-08-11T08:24:18.184567+00:00,3.3000,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=52.2%, RVOL=271.1x) + old bullish news (2026-07-29T20:05:36+00:00) + session-high break at $3.12"
ENTRY_ATTEMPT_UNFILLED,WXM,2026-08-11T14:09:52.280256+00:00,10.6800,unfilled,HALT_REOPEN_CONFIRMED,"Halt->reopen at $10.21 (gap=155.2%), confirmed bullish by sustained buy-side volume post-resume"
ENTRY_ATTEMPT_UNFILLED,MSGY,2026-08-11T14:24:31.596295+00:00,4.8200,unfilled,HALT_REOPEN_CONFIRMED,"Halt->reopen at $4.56 (gap=97.0%), confirmed bullish by sustained buy-side volume post-resume"
ENTRY_ATTEMPT_UNFILLED,BAOS,2026-08-12T08:03:02.574450+00:00,1.9100,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=126.2%, RVOL=4.5x) + old bullish news (2026-07-27T15:21:46+00:00) + session-high break at $1.81"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T08:03:36.541490+00:00,6.1700,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=57.5%, RVOL=6.8x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $5.66"
ENTRY_ATTEMPT_UNFILLED,BAOS,2026-08-12T08:03:52.670393+00:00,1.9500,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=126.2%, RVOL=4.5x) + old bullish news (2026-07-27T15:21:46+00:00) + session-high break at $1.85"
ENTRY_ATTEMPT_UNFILLED,BAOS,2026-08-12T08:05:07.084101+00:00,2.2200,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=144.2%, RVOL=675.3x) + old bullish news (2026-07-27T15:21:46+00:00) + session-high break at $2.06"
ENTRY_ATTEMPT_UNFILLED,BAOS,2026-08-12T08:05:21.931612+00:00,2.2600,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=144.2%, RVOL=675.3x) + old bullish news (2026-07-27T15:21:46+00:00) + session-high break at $2.18"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T08:09:50.687544+00:00,5.9400,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=80.5%, RVOL=198.9x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $5.74"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T08:10:46.300738+00:00,6.2000,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=80.5%, RVOL=198.9x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $5.76"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T08:11:27.500469+00:00,6.4100,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=81.7%, RVOL=182.9x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $5.84"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T08:12:16.604792+00:00,6.3700,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=81.7%, RVOL=182.9x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $6.14"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T08:12:58.639156+00:00,6.4600,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=81.7%, RVOL=182.9x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $6.17"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T08:15:03.869975+00:00,6.6400,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=96.9%, RVOL=170.5x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $6.17"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T08:15:43.194493+00:00,6.5700,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=96.9%, RVOL=170.5x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $6.28"
ENTRY_ATTEMPT_UNFILLED,BAOS,2026-08-12T08:29:01.405221+00:00,2.4000,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=179.8%, RVOL=949.3x) + old bullish news (2026-07-27T15:21:46+00:00) + session-high break at $2.31"
ENTRY_ATTEMPT_UNFILLED,BAOS,2026-08-12T08:29:42.215451+00:00,2.4400,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=179.8%, RVOL=949.3x) + old bullish news (2026-07-27T15:21:46+00:00) + session-high break at $2.32"
ENTRY_ATTEMPT_UNFILLED,BAOS,2026-08-12T08:31:46.815854+00:00,2.4600,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=208.3%, RVOL=1040.5x) + old bullish news (2026-07-27T15:21:46+00:00) + session-high break at $2.34"
ENTRY_ATTEMPT_UNFILLED,BAOS,2026-08-12T08:34:19.436863+00:00,2.6600,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=222.1%, RVOL=1187.0x) + old bullish news (2026-07-27T15:21:46+00:00) + session-high break at $2.52"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T09:05:45.182133+00:00,6.5800,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=100.6%, RVOL=21113.2x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $6.40"
ENTRY_ATTEMPT_UNFILLED,BOXL,2026-08-12T09:08:03.359720+00:00,6.6300,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=93.2%, RVOL=21385.6x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $6.47"
ENTRY,INBS,2026-08-12T18:31:16.186027+00:00,2.5829,qty=69,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=22.0%, RVOL=8.3x) + old bullish news (2026-08-11T12:32:47+00:00) + session-high break at $2.55"
EXIT,INBS,2026-08-12T18:33:46.313498+00:00,2.5700,-0.50,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.65)",
ENTRY,BOXL,2026-08-12T18:45:12.031646+00:00,6.9356,qty=6,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=82.1%, RVOL=1549.2x) + old bullish news (2026-08-12T05:35:01+00:00) + session-high break at $6.56"
EXIT,BOXL,2026-08-12T18:51:48.867718+00:00,6.3500,-8.44,"SET entry-volatility stop break (stop=$6.41, 7.6% off entry)",
ENTRY_ATTEMPT_UNFILLED,FRGT,2026-08-13T08:12:07.853246+00:00,5.0100,unfilled,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=86.4%, RVOL=234.0x) + old bullish news (2026-07-28T13:16:37+00:00) + session-high break at $4.78"
ENTRY,HCTI,2026-08-13T17:42:19.738817+00:00,1.6000,qty=108,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=27.3%, RVOL=224.2x) + old bullish news (2026-07-29T20:25:14+00:00) + session-high break at $1.61"
EXIT,HCTI,2026-08-13T17:44:29.867605+00:00,1.5967,-0.21,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.65)",
ENTRY,FIEE,2026-08-17T08:00:49.891276+00:00,7.2000,qty=21,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=30.8%, RVOL=40.0x) + old bullish news (2026-08-14T20:09:46+00:00) + session-high break at $6.64"
ENTRY,XOS,2026-08-17T21:34:07.639579+00:00,4.7700,qty=27,ROLLING_HIGH_BREAKOUT,"Gap/RVOL candidate (gap=117.2%, RVOL=3.2x) + old bullish news (2026-08-17T20:31:39+00:00) + session-high break at $4.63"
EXIT,XOS,2026-08-17T21:36:53.545927+00:00,4.3420,-8.97,"Significant bearish CVD (secondary exit, armed; net_cvd_ratio=-1.00 <= -0.5)",
